Date,Type Ia,Type Ib,Type II,Type Apple,Type Bump,Type Rain,Type Featureless,Nonevent,Undefined
12-Jun-2004,0,0,0,0,0,0,0,0,1
13-Jun-2004,0,0,0,0,0,0,0,0,1
14-Jun-2004,0,0,0,0,0,0,0,0,1
15-Jun-2004,0,1,0,0,0,0,0,0,0
16-Jun-2004,0,0,0,0,0,0,0,0,1
17-Jun-2004,0,0,1,0,0,0,0,0,0
18-Jun-2004,0,1,0,0,0,0,0,0,0
19-Jun-2004,0,1,0,0,0,0,0,0,0
20-Jun-2004,0,0,1,0,0,0,0,0,0
21-Jun-2004,0,0,0,0,0,0,0,1,0
22-Jun-2004,0,0,0,0,0,0,0,0,1
23-Jun-2004,0,0,0,0,0,0,0,0,1
24-Jun-2004,0,0,0,0,0,0,0,0,1
25-Jun-2004,0,0,0,0,0,0,0,0,1
26-Jun-2004,0,0,0,0,0,0,0,0,1
27-Jun-2004,0,0,0,0,0,0,0,1,0
28-Jun-2004,0,0,0,0,0,0,0,1,0
29-Jun-2004,0,0,1,0,0,0,0,0,0
30-Jun-2004,0,0,0,0,0,0,0,0,1
01-Jul-2004,0,0,0,0,0,0,0,1,0
02-Jul-2004,0,0,0,0,0,0,0,0,1
03-Jul-2004,0,0,0,0,0,0,0,1,0
04-Jul-2004,0,0,0,0,0,0,0,1,0
05-Jul-2004,0,0,0,0,0,0,0,0,1
06-Jul-2004,0,0,0,0,0,0,0,0,1
07-Jul-2004,0,0,0,0,0,0,0,0,1
08-Jul-2004,0,1,0,0,0,0,0,0,0
09-Jul-2004,0,0,1,0,0,0,0,0,0
10-Jul-2004,0,0,0,0,0,0,0,0,1
11-Jul-2004,0,0,0,0,0,0,0,0,1
12-Jul-2004,0,0,0,0,0,0,0,0,1
13-Jul-2004,0,0,0,0,0,0,0,0,1
14-Jul-2004,0,0,0,0,0,0,0,0,1
15-Jul-2004,0,0,0,0,0,0,0,0,1
16-Jul-2004,0,1,0,0,0,0,0,0,0
17-Jul-2004,0,0,0,0,0,0,0,0,1
18-Jul-2004,0,0,1,0,0,0,0,0,0
19-Jul-2004,0,1,0,0,0,0,0,0,0
20-Jul-2004,0,0,0,0,0,0,0,0,1
21-Jul-2004,0,0,0,0,0,0,0,0,1
22-Jul-2004,0,1,0,0,0,0,0,0,0
23-Jul-2004,0,0,0,0,0,0,0,1,0
24-Jul-2004,0,0,0,0,0,0,0,1,0
25-Jul-2004,0,0,0,0,0,0,0,0,1
26-Jul-2004,0,0,1,0,0,0,0,0,0
27-Jul-2004,0,0,0,0,0,0,0,0,1
28-Jul-2004,0,0,0,0,0,0,0,0,1
29-Jul-2004,0,0,0,0,0,0,0,0,1
30-Jul-2004,0,0,0,0,0,0,0,1,0
31-Jul-2004,0,0,0,0,0,0,0,0,1
01-Aug-2004,0,0,0,0,0,0,0,1,0
02-Aug-2004,0,0,0,0,0,0,0,1,0
03-Aug-2004,0,0,0,0,0,0,0,0,0
04-Aug-2004,0,0,0,0,0,0,0,0,1
05-Aug-2004,0,0,0,0,0,0,0,0,1
06-Aug-2004,0,0,0,0,0,0,0,0,1
07-Aug-2004,0,0,0,0,0,0,0,0,1
08-Aug-2004,0,0,0,0,0,0,0,0,1
09-Aug-2004,0,0,1,0,0,0,0,0,0
10-Aug-2004,0,0,1,0,0,0,0,0,0
11-Aug-2004,0,0,0,0,0,0,0,0,1
12-Aug-2004,0,1,0,0,0,0,0,0,0
13-Aug-2004,0,0,1,0,0,0,0,0,0
14-Aug-2004,0,0,0,0,0,0,0,0,1
15-Aug-2004,0,0,1,0,0,0,0,0,0
16-Aug-2004,1,0,0,0,0,0,0,0,0
17-Aug-2004,0,0,1,0,0,0,0,0,0
18-Aug-2004,0,0,0,0,0,0,0,0,1
19-Aug-2004,0,0,0,0,0,0,0,0,1
20-Aug-2004,0,0,1,0,0,0,0,0,0
21-Aug-2004,0,0,0,0,0,0,0,0,1
22-Aug-2004,0,1,0,0,0,0,0,0,0
23-Aug-2004,0,0,1,0,0,0,0,0,0
24-Aug-2004,0,0,1,0,0,0,0,0,0
25-Aug-2004,0,1,0,0,0,0,0,0,0
26-Aug-2004,0,0,0,0,0,0,0,0,1
27-Aug-2004,0,0,0,0,0,0,0,1,0
28-Aug-2004,0,0,0,0,0,0,0,0,1
29-Aug-2004,0,0,0,0,0,0,0,0,1
30-Aug-2004,0,0,0,0,0,0,0,1,0
31-Aug-2004,0,0,0,0,0,0,0,1,0
01-Sep-2004,0,0,0,0,0,0,0,0,1
02-Sep-2004,0,0,0,0,0,0,0,1,0
03-Sep-2004,0,0,0,0,0,0,0,0,1
04-Sep-2004,0,0,0,0,0,0,0,0,1
05-Sep-2004,0,0,0,0,0,0,0,0,1
06-Sep-2004,0,0,1,0,0,0,0,0,0
07-Sep-2004,0,0,1,0,0,0,0,0,0
08-Sep-2004,0,1,0,0,0,0,0,0,0
09-Sep-2004,0,1,0,0,0,0,0,0,0
10-Sep-2004,0,0,1,0,0,0,0,0,0
11-Sep-2004,0,1,0,0,0,0,0,0,0
12-Sep-2004,0,0,0,0,0,0,0,1,0
13-Sep-2004,0,0,1,0,0,0,0,0,0
14-Sep-2004,0,0,0,0,0,0,0,0,1
15-Sep-2004,0,0,0,0,0,0,0,0,1
16-Sep-2004,0,0,1,0,0,0,0,0,0
17-Sep-2004,0,0,1,0,0,0,0,0,0
18-Sep-2004,0,0,0,0,0,0,0,0,1
19-Sep-2004,0,0,0,0,0,0,0,1,0
20-Sep-2004,0,0,0,0,0,0,0,0,1
21-Sep-2004,0,0,0,0,0,0,0,1,0
22-Sep-2004,0,0,0,0,0,0,0,1,0
23-Sep-2004,0,0,0,0,0,0,0,0,1
24-Sep-2004,0,0,1,0,0,0,0,0,0
25-Sep-2004,0,0,0,0,0,0,0,0,1
26-Sep-2004,0,0,1,0,0,0,0,0,0
27-Sep-2004,0,0,0,0,0,0,0,0,1
28-Sep-2004,0,0,0,0,0,0,0,1,0
29-Sep-2004,0,0,0,0,0,0,0,1,0
30-Sep-2004,0,0,0,0,0,0,0,0,1
01-Oct-2004,0,0,0,0,0,0,0,0,1
02-Oct-2004,0,0,0,0,0,0,0,0,1
03-Oct-2004,0,0,0,0,0,0,0,1,0
04-Oct-2004,0,0,0,0,0,0,0,1,0
05-Oct-2004,0,0,0,0,0,0,0,1,0
06-Oct-2004,0,0,0,0,0,0,0,0,1
07-Oct-2004,0,0,0,0,0,0,0,0,1
08-Oct-2004,0,0,0,0,0,0,0,0,0
09-Oct-2004,0,0,0,0,0,0,0,0,0
10-Oct-2004,0,0,0,0,0,0,0,0,0
11-Oct-2004,0,0,1,0,0,0,0,0,0
12-Oct-2004,0,0,0,0,0,0,0,0,1
13-Oct-2004,0,0,0,0,0,0,0,0,1
14-Oct-2004,0,0,0,0,0,0,0,0,1
15-Oct-2004,0,0,0,0,0,0,0,1,0
16-Oct-2004,0,0,0,0,0,0,0,0,1
17-Oct-2004,0,0,0,0,0,0,0,1,0
18-Oct-2004,0,0,0,0,0,0,0,1,0
19-Oct-2004,0,0,0,0,0,0,0,1,0
20-Oct-2004,0,0,0,0,0,0,0,1,0
21-Oct-2004,0,0,0,0,0,0,0,1,0
22-Oct-2004,0,0,0,0,0,0,0,0,1
23-Oct-2004,0,0,0,0,0,0,0,1,0
24-Oct-2004,0,0,0,0,0,0,0,1,0
25-Oct-2004,0,0,0,0,0,0,0,1,0
26-Oct-2004,0,0,0,0,0,0,0,0,1
27-Oct-2004,0,0,0,0,0,0,0,0,1
28-Oct-2004,0,0,0,0,0,0,0,0,1
29-Oct-2004,0,0,0,0,0,0,0,1,0
30-Oct-2004,0,0,0,0,0,0,0,1,0
31-Oct-2004,0,0,0,0,0,0,0,0,1
01-Nov-2004,0,1,0,0,0,0,0,0,0
02-Nov-2004,0,0,0,0,0,0,0,0,1
03-Nov-2004,0,0,0,0,0,0,0,0,1
04-Nov-2004,0,0,0,0,0,0,0,0,1
05-Nov-2004,0,0,0,0,0,0,0,0,1
06-Nov-2004,0,0,0,0,0,0,0,1,0
07-Nov-2004,0,0,0,0,0,0,0,0,1
08-Nov-2004,0,0,0,0,0,0,0,0,1
09-Nov-2004,0,0,0,0,0,0,0,0,1
10-Nov-2004,0,0,0,0,0,0,0,0,1
11-Nov-2004,0,0,0,0,0,0,0,0,1
12-Nov-2004,0,0,0,0,0,0,0,0,1
13-Nov-2004,0,0,1,0,0,0,0,0,0
14-Nov-2004,0,0,0,0,0,0,0,0,1
15-Nov-2004,0,0,0,0,0,0,0,0,1
16-Nov-2004,0,0,1,0,0,0,0,0,0
17-Nov-2004,0,0,1,0,0,0,0,0,0
18-Nov-2004,0,0,0,0,0,0,0,1,0
19-Nov-2004,0,0,0,0,0,0,0,1,0
20-Nov-2004,0,0,0,0,0,0,0,1,0
21-Nov-2004,0,0,0,0,0,0,0,1,0
22-Nov-2004,0,0,0,0,0,0,0,1,0
23-Nov-2004,0,0,0,0,0,0,0,1,0
24-Nov-2004,0,0,0,0,0,0,0,1,0
25-Nov-2004,0,0,1,0,0,0,0,0,0
26-Nov-2004,0,0,0,0,0,0,0,0,1
27-Nov-2004,0,0,0,0,0,0,0,1,0
28-Nov-2004,0,0,0,0,0,0,0,1,0
29-Nov-2004,0,0,0,0,0,0,0,1,0
30-Nov-2004,0,0,0,0,0,0,0,0,0
01-Dec-2004,0,0,0,0,0,0,0,0,1
02-Dec-2004,0,0,0,0,0,0,0,0,1
03-Dec-2004,0,0,0,0,0,0,0,0,1
04-Dec-2004,0,0,0,0,0,0,0,0,1
05-Dec-2004,0,0,0,0,0,0,0,1,0
06-Dec-2004,0,0,0,0,0,0,0,1,0
07-Dec-2004,0,0,0,0,0,0,0,0,1
08-Dec-2004,0,0,0,0,0,0,0,1,0
09-Dec-2004,0,0,0,0,0,0,0,0,1
10-Dec-2004,0,0,0,0,0,0,0,0,1
11-Dec-2004,0,0,0,0,0,0,0,0,1
12-Dec-2004,0,0,0,0,0,0,0,1,0
13-Dec-2004,0,0,0,0,0,0,0,0,0
14-Dec-2004,0,0,0,0,0,0,0,0,0
15-Dec-2004,0,0,0,0,0,0,0,0,0
16-Dec-2004,0,0,0,0,0,0,0,0,0
17-Dec-2004,0,0,0,0,0,0,0,0,0
18-Dec-2004,0,0,0,0,0,0,0,0,0
19-Dec-2004,0,0,0,0,0,0,0,0,0
20-Dec-2004,0,0,0,0,0,0,0,0,0
21-Dec-2004,0,0,0,0,0,0,0,0,0
22-Dec-2004,0,0,0,0,0,0,0,0,0
23-Dec-2004,0,0,0,0,0,0,0,0,0
24-Dec-2004,0,0,0,0,0,0,0,0,0
